CodeForces average performance (100 contests, top-50):
422.43558552260146, 0.30000000000000004: 0.6217551020408162, 3.9s
422.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.009s
422.43558552260146, 0.4: 0.623412244897959, 4.022s
422.43558552260146, 0.45: 0.6237632653061224, 4.071s
422.43558552260146, 0.5: 0.6243510204081633, 4.106s
422.43558552260146, 0.55: 0.624342857142857, 4.08s
422.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.092s
422.43558552260146, 0.65: 0.6249551020408165, 4.168s
422.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.198s
422.43558552260146, 0.75: 0.6253061224489795, 4.809s
422.43558552260146, 0.8: 0.6248734693877551, 5.366s
422.43558552260146, 0.8500000000000001: 0.6249877551020409, 5.982s
422.43558552260146, 0.9: 0.624669387755102, 4.661s
422.43558552260146, 0.9500000000000001: 0.6244489795918364, 7.517s
437.43558552260146, 0.05: 0.6160653061224489, 4.243s
437.43558552260146, 0.1: 0.6174367346938778, 3.864s
437.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.94s
437.43558552260146, 0.2: 0.6201061224489797, 5.465s
437.43558552260146, 0.25: 0.6211183673469386, 4.228s
437.43558552260146, 0.30000000000000004: 0.6217551020408162, 3.974s
437.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.123s
437.43558552260146, 0.4: 0.623412244897959, 4.244s
437.43558552260146, 0.45: 0.6237632653061224, 4.86s
437.43558552260146, 0.5: 0.6243510204081633, 4.313s
437.43558552260146, 0.55: 0.624342857142857, 5.636s
437.43558552260146, 0.6000000000000001: 0.6244897959183673, 6.364s
437.43558552260146, 0.65: 0.6249551020408165, 5.105s
437.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.952s
437.43558552260146, 0.75: 0.6253061224489795, 4.464s
437.43558552260146, 0.8: 0.6248734693877551, 5.867s
437.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.698s
437.43558552260146, 0.9: 0.624669387755102, 4.528s
437.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.423s
452.43558552260146, 0.05: 0.6160653061224489, 3.524s
452.43558552260146, 0.1: 0.6174367346938778, 3.75s
452.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.829s
452.43558552260146, 0.2: 0.6201061224489797, 3.817s
452.43558552260146, 0.25: 0.6211183673469386, 3.981s
452.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.102s
452.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.122s
452.43558552260146, 0.4: 0.623412244897959, 4.119s
452.43558552260146, 0.45: 0.6237632653061224, 4.166s
452.43558552260146, 0.5: 0.6243510204081633, 4.241s
452.43558552260146, 0.55: 0.624342857142857, 4.189s
452.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.265s
452.43558552260146, 0.65: 0.6249551020408165, 4.305s
452.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.908s
452.43558552260146, 0.75: 0.6253061224489795, 4.876s
452.43558552260146, 0.8: 0.6248734693877551, 5.084s
452.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.471s
452.43558552260146, 0.9: 0.624669387755102, 4.38s
452.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.437s
467.43558552260146, 0.05: 0.6160653061224489, 3.446s
467.43558552260146, 0.1: 0.6174367346938778, 3.72s
467.43558552260146, 0.15000000000000002: 0.6190775510204083, 3.819s
467.43558552260146, 0.2: 0.6201061224489797, 3.968s
467.43558552260146, 0.25: 0.6211183673469386, 4.021s
467.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.067s
467.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.135s
467.43558552260146, 0.4: 0.623412244897959, 4.136s
467.43558552260146, 0.45: 0.6237632653061224, 4.225s
467.43558552260146, 0.5: 0.6243510204081633, 4.231s
467.43558552260146, 0.55: 0.624342857142857, 4.266s
467.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.318s
467.43558552260146, 0.65: 0.6249551020408165, 4.28s
467.43558552260146, 0.7000000000000001: 0.6251836734693877, 5.024s
467.43558552260146, 0.75: 0.6253061224489795, 4.584s
467.43558552260146, 0.8: 0.6248734693877551, 4.331s
467.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.364s
467.43558552260146, 0.9: 0.624669387755102, 4.378s
467.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.372s
482.43558552260146, 0.05: 0.6160653061224489, 3.438s
482.43558552260146, 0.1: 0.6174367346938778, 3.622s
482.43558552260146, 0.15000000000000002: 0.6190775510204083, 4.003s
482.43558552260146, 0.2: 0.6201061224489797, 4.043s
482.43558552260146, 0.25: 0.6211183673469386, 3.983s
482.43558552260146, 0.30000000000000004: 0.6217551020408162, 4.026s
482.43558552260146, 0.35000000000000003: 0.6227428571428573, 4.222s
482.43558552260146, 0.4: 0.623412244897959, 4.3s
482.43558552260146, 0.45: 0.6237632653061224, 4.188s
482.43558552260146, 0.5: 0.6243510204081633, 4.205s
482.43558552260146, 0.55: 0.624342857142857, 4.378s
482.43558552260146, 0.6000000000000001: 0.6244897959183673, 4.269s
482.43558552260146, 0.65: 0.6249551020408165, 4.284s
482.43558552260146, 0.7000000000000001: 0.6251836734693877, 4.305s
482.43558552260146, 0.75: 0.6253061224489795, 4.334s
482.43558552260146, 0.8: 0.6248734693877551, 4.358s
482.43558552260146, 0.8500000000000001: 0.6249877551020409, 4.343s
482.43558552260146, 0.9: 0.624669387755102, 4.386s
482.43558552260146, 0.9500000000000001: 0.6244489795918364, 4.403s
EloR average performance (100 contests, top-50):
95, 37.5: 0.6566775510204081, 5.333s
95, 39: 0.6566122448979592, 5.335s
95, 40.5: 0.6563265306122452, 5.356s
95, 42: 0.6559510204081631, 5.389s
95, 43.5: 0.6558285714285711, 5.337s
95, 45: 0.6551918367346938, 5.22s
95, 46.5: 0.6548734693877553, 5.243s
95, 48: 0.6543836734693879, 5.285s
95, 49.5: 0.6535999999999998, 5.244s
95, 51: 0.6529959183673468, 5.182s
95, 52.5: 0.6524816326530611, 5.207s
95, 54: 0.6518122448979592, 5.179s
95, 55.5: 0.6508244897959181, 5.206s
95, 57: 0.6503591836734696, 5.164s
95, 58.5: 0.6493387755102039, 5.136s
95, 60: 0.6478938775510208, 5.207s
95, 61.5: 0.6468734693877549, 5.166s
