CodeForces average performance (50 contests, top-50):
467.43558552260146, 0.9: 0.6490448979591839, 1.13s
467.43558552260146, 1: 0.648538775510204, 1.144s
467.43558552260146, 1.1: 0.6493061224489795, 1.153s
467.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.182s
467.43558552260146, 1.3: 0.6490938775510203, 1.144s
467.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.149s
467.43558552260146, 1.5: 0.6488816326530613, 1.465s
467.43558552260146, 1.6: 0.6487999999999999, 1.268s
467.43558552260146, 1.7000000000000002: 0.649208163265306, 1.169s
467.43558552260146, 1.8: 0.6494204081632654, 1.21s
467.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.199s
487.43558552260146, 0.1: 0.6486530612244897, 0.956s
487.43558552260146, 0.2: 0.6495510204081633, 1.038s
487.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.159s
487.43558552260146, 0.4: 0.651673469387755, 1.067s
487.43558552260146, 0.5: 0.6519673469387754, 1.086s
487.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.131s
487.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.11s
487.43558552260146, 0.8: 0.6493551020408163, 1.109s
487.43558552260146, 0.9: 0.6490448979591839, 1.121s
487.43558552260146, 1: 0.648538775510204, 1.185s
487.43558552260146, 1.1: 0.6493061224489795, 1.139s
487.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.26s
487.43558552260146, 1.3: 0.6490938775510203, 1.167s
487.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.138s
487.43558552260146, 1.5: 0.6488816326530613, 1.152s
487.43558552260146, 1.6: 0.6487999999999999, 1.237s
487.43558552260146, 1.7000000000000002: 0.649208163265306, 1.153s
487.43558552260146, 1.8: 0.6494204081632654, 1.164s
487.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.197s
507.43558552260146, 0.1: 0.6486530612244897, 1.11s
507.43558552260146, 0.2: 0.6495510204081633, 1.002s
507.43558552260146, 0.30000000000000004: 0.6503999999999999, 1.046s
507.43558552260146, 0.4: 0.651673469387755, 1.092s
507.43558552260146, 0.5: 0.6519673469387754, 1.091s
507.43558552260146, 0.6000000000000001: 0.6505142857142858, 1.109s
507.43558552260146, 0.7000000000000001: 0.6503183673469389, 1.1s
507.43558552260146, 0.8: 0.6493551020408163, 1.135s
507.43558552260146, 0.9: 0.6490448979591839, 1.125s
507.43558552260146, 1: 0.648538775510204, 1.257s
507.43558552260146, 1.1: 0.6493061224489795, 1.126s
507.43558552260146, 1.2000000000000002: 0.6495836734693876, 1.158s
507.43558552260146, 1.3: 0.6490938775510203, 1.145s
507.43558552260146, 1.4000000000000001: 0.6491755102040817, 1.134s
507.43558552260146, 1.5: 0.6488816326530613, 1.313s
507.43558552260146, 1.6: 0.6487999999999999, 1.261s
507.43558552260146, 1.7000000000000002: 0.649208163265306, 1.263s
507.43558552260146, 1.8: 0.6494204081632654, 1.194s
507.43558552260146, 1.9000000000000001: 0.6491591836734696, 1.167s
527.4355855226015, 0.1: 0.6486530612244897, 0.934s
527.4355855226015, 0.2: 0.6495510204081633, 1.036s
527.4355855226015, 0.30000000000000004: 0.6503999999999999, 1.039s
527.4355855226015, 0.4: 0.651673469387755, 1.059s
527.4355855226015, 0.5: 0.6519673469387754, 1.086s
527.4355855226015, 0.6000000000000001: 0.6505142857142858, 1.102s
527.4355855226015, 0.7000000000000001: 0.6503183673469389, 1.263s
527.4355855226015, 0.8: 0.6493551020408163, 1.118s
527.4355855226015, 0.9: 0.6490448979591839, 1.118s
527.4355855226015, 1: 0.648538775510204, 1.254s
527.4355855226015, 1.1: 0.6493061224489795, 1.133s
527.4355855226015, 1.2000000000000002: 0.6495836734693876, 1.251s
527.4355855226015, 1.3: 0.6490938775510203, 1.18s
527.4355855226015, 1.4000000000000001: 0.6491755102040817, 1.194s
527.4355855226015, 1.5: 0.6488816326530613, 1.153s
527.4355855226015, 1.6: 0.6487999999999999, 1.167s
527.4355855226015, 1.7000000000000002: 0.649208163265306, 1.42s
527.4355855226015, 1.8: 0.6494204081632654, 1.157s
527.4355855226015, 1.9000000000000001: 0.6491591836734696, 1.157s
EloR average performance (50 contests, top-50):
150, 50: 0.6731428571428573, 1.386s
150, 55: 0.6728326530612248, 1.342s
150, 60: 0.6728979591836735, 1.355s
150, 65: 0.673273469387755, 1.361s
150, 70: 0.6718857142857143, 1.411s
150, 75: 0.6724081632653062, 1.469s
150, 80: 0.671608163265306, 1.377s
150, 85: 0.6719510204081633, 1.331s
150, 90: 0.670726530612245, 1.385s
150, 95: 0.6701877551020406, 1.337s
150, 100: 0.6671020408163265, 1.542s
150, 105: 0.6657469387755102, 1.453s
150, 110: 0.664473469387755, 1.341s
150, 115: 0.6622857142857143, 1.521s
150, 120: 0.6598857142857145, 1.343s
150, 125: 0.6566204081632653, 1.362s
150, 130: 0.6541714285714286, 1.313s
150, 135: 0.6521795918367347, 1.356s
150, 140: 0.6493714285714283, 1.37s
150, 145: 0.6456489795918365, 1.444s
160, 50: 0.6733061224489798, 1.411s
160, 55: 0.673485714285714, 1.36s
160, 60: 0.6733061224489796, 1.497s
160, 65: 0.6734204081632654, 1.385s
160, 70: 0.6729142857142856, 1.466s
160, 75: 0.6724734693877553, 1.35s
160, 80: 0.6723918367346937, 1.448s
160, 85: 0.67214693877551, 1.365s
160, 90: 0.6714938775510206, 1.379s
160, 95: 0.6709551020408163, 1.635s
160, 100: 0.6700408163265306, 1.372s
160, 105: 0.6670204081632651, 1.316s
160, 110: 0.6652244897959184, 1.34s
160, 115: 0.6644571428571431, 1.363s
160, 120: 0.6626285714285713, 1.529s
160, 125: 0.6608979591836734, 1.744s
160, 130: 0.6579102040816328, 1.95s
160, 135: 0.6552816326530612, 1.548s
160, 140: 0.6537306122448979, 1.409s
160, 145: 0.6513142857142857, 1.376s
170, 50: 0.6734367346938777, 1.341s
170, 55: 0.6737959183673469, 1.329s
170, 60: 0.6737959183673468, 1.328s
170, 65: 0.6738612244897958, 1.325s
170, 70: 0.6731755102040815, 1.493s
170, 75: 0.6730938775510205, 1.343s
170, 80: 0.6728979591836735, 1.342s
170, 85: 0.6713306122448981, 1.327s
170, 90: 0.6713959183673471, 1.449s
170, 95: 0.6711346938775508, 1.634s
170, 100: 0.6704816326530612, 1.733s
170, 105: 0.6693061224489797, 1.377s
170, 110: 0.6670204081632651, 1.429s
170, 115: 0.6654857142857143, 1.413s
170, 120: 0.6640979591836735, 1.381s
170, 125: 0.6631183673469385, 1.479s
170, 130: 0.6615510204081633, 1.337s
170, 135: 0.6592816326530614, 1.48s
170, 140: 0.6571755102040818, 1.487s
170, 145: 0.6544, 1.361s
180, 50: 0.6733224489795918, 1.668s
180, 55: 0.6737795918367346, 1.495s
180, 60: 0.6740571428571428, 1.904s
180, 65: 0.6738285714285717, 1.504s
180, 70: 0.6730448979591838, 1.673s
180, 75: 0.6729959183673471, 1.82s
180, 80: 0.672930612244898, 1.474s
180, 85: 0.6729469387755102, 2.008s
180, 90: 0.6717877551020408, 1.844s
180, 95: 0.6719999999999999, 2.599s
180, 100: 0.6712000000000002, 1.736s
180, 105: 0.6708081632653061, 1.633s
180, 110: 0.669191836734694, 1.41s
180, 115: 0.6669714285714285, 1.62s
180, 120: 0.6654530612244898, 1.382s
180, 125: 0.6644734693877551, 1.39s
180, 130: 0.6630040816326531, 1.444s
180, 135: 0.6626122448979591, 1.41s
180, 140: 0.6608000000000002, 1.45s
180, 145: 0.6579102040816329, 1.502s
190, 50: 0.6735510204081632, 1.361s
190, 55: 0.6737142857142855, 1.283s
190, 60: 0.6736816326530612, 1.313s
190, 65: 0.6741551020408164, 1.378s
190, 70: 0.6735020408163264, 1.724s
190, 75: 0.6734367346938775, 1.313s
190, 80: 0.6731755102040816, 1.517s
190, 85: 0.6729795918367347, 1.42s
190, 90: 0.6725551020408165, 1.809s
190, 95: 0.6716408163265306, 2.417s
190, 100: 0.6717061224489795, 2.261s
190, 105: 0.6710530612244898, 1.73s
190, 110: 0.6704326530612245, 1.534s
190, 115: 0.6688326530612245, 1.511s
190, 120: 0.6673142857142857, 1.513s
190, 125: 0.6655020408163265, 1.889s
190, 130: 0.664473469387755, 1.658s
190, 135: 0.6631020408163266, 1.702s
190, 140: 0.6628897959183675, 1.486s
190, 145: 0.6616163265306122, 1.298s
200, 50: 0.6734857142857141, 1.34s
200, 55: 0.6737142857142857, 1.333s
200, 60: 0.6736979591836735, 1.491s
200, 65: 0.6737306122448978, 1.331s
200, 70: 0.6737959183673469, 1.331s
200, 75: 0.6736489795918367, 1.341s
200, 80: 0.6731265306122451, 1.31s
200, 85: 0.6724081632653061, 1.314s
200, 90: 0.6734367346938775, 1.349s
