CodeForces average performance (50 contests, top-50):
180, 59: 0.677273469387755, 1.427s
180, 60.5: 0.6770448979591838, 1.414s
180, 62: 0.6772081632653061, 1.399s
180, 63.5: 0.6770775510204083, 1.39s
180, 65: 0.6766204081632654, 1.331s
180, 66.5: 0.6764244897959183, 1.413s
180, 68: 0.6763755102040815, 1.386s
180, 69.5: 0.6758530612244898, 1.243s
180, 71: 0.6755591836734695, 1.25s
185, 27.5: 0.6777306122448981, 1.238s
185, 29: 0.6776979591836735, 1.344s
185, 30.5: 0.6776653061224489, 1.384s
185, 32: 0.6776326530612244, 1.323s
185, 33.5: 0.6775673469387756, 1.243s
185, 35: 0.6775510204081631, 1.229s
185, 36.5: 0.6775510204081633, 1.263s
185, 38: 0.6772897959183674, 1.24s
185, 39.5: 0.6774204081632653, 1.244s
185, 41: 0.6773877551020407, 1.243s
185, 42.5: 0.6773387755102039, 1.394s
185, 44: 0.6774204081632653, 1.397s
185, 45.5: 0.677404081632653, 1.316s
185, 47: 0.6773877551020407, 1.37s
185, 48.5: 0.6773714285714287, 1.485s
185, 50: 0.6773387755102042, 1.515s
185, 51.5: 0.6774367346938778, 1.415s
185, 53: 0.6774204081632653, 1.37s
185, 54.5: 0.677404081632653, 1.43s
185, 56: 0.6771102040816328, 1.574s
185, 57.5: 0.6769795918367346, 2.216s
185, 59: 0.6770938775510202, 1.815s
185, 60.5: 0.6769795918367346, 2.219s
185, 62: 0.6769469387755105, 2.255s
185, 63.5: 0.6769469387755103, 2.036s
185, 65: 0.6768816326530611, 1.801s
185, 66.5: 0.6764897959183673, 1.305s
185, 68: 0.6761959183673472, 1.339s
185, 69.5: 0.6760979591836734, 1.361s
185, 71: 0.6760326530612246, 1.473s
190, 27.5: 0.6774530612244898, 1.895s
190, 29: 0.6774367346938776, 1.548s
190, 30.5: 0.6774857142857145, 2.137s
190, 32: 0.6775183673469388, 2.446s
190, 33.5: 0.6775183673469388, 2.293s
190, 35: 0.6775183673469388, 1.652s
190, 36.5: 0.6773387755102043, 2.211s
190, 38: 0.6772897959183675, 1.419s
190, 39.5: 0.6772734693877553, 1.705s
190, 41: 0.677240816326531, 1.786s
190, 42.5: 0.6775183673469389, 1.389s
